InventoryID,Glottocode,Dialect,LanguageName,BibTexKey,Filename,Contributor,MetadataComments,PhoibleID
275,lith1251,,Lithuanian,"Senn1966,Augustitis1964,Ambrazas_etal1966",lit_SPA1979_phon.pdf,Steven Moran,,168
276,aleu1260,,Aleut,"Bergsland1956,Bergsland1959,Menovshchikov1968,Jakobson1944",ale_SPA1979_phon.pdf,Steven Moran,,61
277,mapu1245,,Mapudungun,smeets2008mapudungun,,Rammie Cahlon,,
278,mapu1245,,Mapudungun,EcheverriaContreras1965,arn_SPA1979_phon.pdf,Steven Moran,,106
279,sanm1295,,San Miguel El Grande Mixtec,HunterPike1969,mig_SPA1979_phon.pdf,Steven Moran,,100
281,hebr1245,,Modern Hebrew,"Chayen1973,CohenZafrani1968",heb_SPA1979_phon.pdf,Steven Moran,,135
283,taga1270,,Tagalog,"SchachterOtanes1972,Bloomfield1917",tgl_SPA1979_phon.pdf,Steven Moran,,37
284,nucl1301,,Turkish,"Swift1963,Lees1961,Underhill1976",tur_SPA1979_phon.pdf,Steven Moran,,186
285,assa1263,,Assamese,mahanta2012assamese,,Eitan Grossman,,
286,kwaz1243,,Kwaza,vandervoort2004kwaza,,Konstantin Filatov,,
287,slov1269,,Slovak,hanulikova2010slovak,,Vasilisa Zhigulskaya,,
289,high1276,,Highland Popoluca,dejong2009sierrapopoluca,,NA,,
290,sout2672,,Southeastern Pashayi,lamuwal2013southeastpashayi,,NA,,
291,wich1264,,Wichí Lhamtés Güisnay (Misón La Paz dialect),1984_Avram2008,1984_Avram2008.pdf,Ezequiel Koile,,1984
294,basq1248,,Goizueta Basque,hualde2010goizuetabasque,,Pavel Duryagin,,
295,huam1247,,Huambisa,pena2015huambisa,http://linguistics.berkeley.edu/~saphon/en/inv/Huambisa.html,Dasha Bikina,,1948
297,moks1248,,Moksha,bondarko1993mordvin,,Ruslan Idrisov,,
298,erzy1239,,Erzya,bondarko1993mordvin,,Ruslan Idrisov,,
299,awac1239,,Awa-Cuaiquer,curnow1997awapit,,Polina Pleshak,,
300,tami1289,,Tamil,keane2004tamil,,Vasilisa Zhigulskaya,,
301,belh1239,,Belhare,bickel2003belhare,,Eitan Grossman,,
302,bond1245,,Bondo (Remo),fernandez1968remo,,Eitan Grossman,,
303,czec1258,,Czech,dankovicova1997czech,,Eitan Grossman,,
304,chra1242,,Chrau,thomas1971chrau,,Eitan Grossman,,
305,stan1290,,French,Sten1963,fra_SPA1979_phon.pdf,Eitan Grossman,,162
306,friu1240,,Friulian,miotti2002friulian,,Eitan Grossman,,
307,guja1253,,Gujari (Gojri),losey2002gujari,,Eitan Grossman,,
308,mose1249,,Mosetén,sakel2004moseten,,Vanya Levin,,
309,iron1242,,Ossetian,hettich2002ossetian,hettich2002ossetian.pdf,Daniel Wilson,Assigned Iron Ossetian based on Glottolog,
310,nort3142,,Baghdad Arabic (Christian),abuhaidar1991baghdadchristianarabic,,Nikita Kuzin,,
311,ukaa1243,,Ukaan,abiodun1999ukaan,,Polina Pleshak,,
312,tuvi1240,,Tuvan,harrison2000tuvan,,Vanya Levin,,
313,nene1249,,Tundra Nenets,nikolaeva2014tundranenets,,Aigul Zakirova,,
314,russ1263,,Russian,galinskaya2009russian,,Pavel Duryagin,,
315,moco1246,,Mocoví,grondona1998mocovi,,Ezequiel Koile,,
316,kute1248,,Kuteb,koops1990kuteb,,Vanya Levin,,
317,halh1238,,Halh Mongolian,svantesson2005mongolian,,Anna Sorokina,,
318,caml1239,,Camling,ebert1997,,Dmitry Nikolaev,,
319,galo1242,,Galo,post2007galo,,Dmitry Nikolaev,,
320,chop1243,copi1238,Copi,gowlett2003copi,xho_Gowlett2003.pdf,Elad Eisen,,1318
321,idom1241,,Idoma,1536_idu,idu_Blench2010.pdf,Elad Eisen,,1536
322,nucl1440,,Masalit,1565_mls,mls_Edgar1989.pdf,Elad Eisen,,1565
323,nubi1253,,Nubi,kcn_wellens2003,kcn_wellens2003_phon.pdf,Elad Eisen,,967
324,wage1238,,Wageman/Wagiman,cook1987wagiman,,Elad Eisen,Data from Erich Round,
325,midd1357,waal1238,Waalubal,crowley1978bandjalang,,Elad Eisen,Data from Erich Round,
326,umbu1235,,Umbugarla,davies1989umbugarla,,Elad Eisen,Data from Erich Round,
327,badi1246,,Badimaya,dunn1988badimaya,,Elad Eisen,Data from Erich Round,
328,gunw1252,gune1238,Kune,evans2003bininjgunwok,,Elad Eisen,Data from Erich Round,
329,wand1263,,Wandarang/Warndarang,heath1980warndarang,,Elad Eisen,Data from Erich Round,
330,madh1244,,Madhimadhi,hercus1986madhimadhi,,Elad Eisen,Data from Erich Round,
331,djam1255,jami1236,Jaminjung,schultzeberndt2000jaminjung,,Elad Eisen,Data from Erich Round,
332,iwai1244,,Iwaidja,teo2007iwaidjanmaung,,Elad Eisen,Data from Erich Round,
333,anin1240,,Enindhilyakwa/Anindilyakwa,vanegmond2012enindhilyakwa,,Elad Eisen,Data from Erich Round,
